index,total,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unknown
Total,3387,0,0,0,12,131,426,700,695,603,322,228,164,70,19,4,7,4,2
Baden-Württemberg,146,0,0,0,4,4,23,31,21,35,13,8,5,1,0,0,1,0,0
Bavaria,267,0,0,0,0,14,30,45,48,58,34,19,13,5,1,0,0,0,0
Berlin,1589,0,0,0,2,47,207,367,342,289,127,96,74,24,6,2,3,3,0
Brandenburg,48,0,0,0,0,7,2,10,7,9,4,4,3,1,1,0,0,0,0
Bremen,10,0,0,0,0,2,4,1,1,0,0,1,0,1,0,0,0,0,0
Hamburg,165,0,0,0,0,6,19,35,37,20,23,11,9,3,2,0,0,0,0
Hesse,189,0,0,0,1,8,21,20,47,34,25,17,7,6,0,0,1,0,2
Mecklenburg-Vorpommern,5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Lower Saxony,48,0,0,0,1,3,8,10,7,10,3,2,2,2,0,0,0,0,0
North Rhine-Westphalia,751,0,0,0,1,28,81,144,145,126,82,62,45,23,9,2,2,1,0
Rhineland-Palatinate,49,0,0,0,0,1,10,7,9,11,4,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Saxony,66,0,0,0,2,3,13,16,18,5,2,3,2,2,0,0,0,0,0
Saxony-Anhalt,12,0,0,0,0,1,2,5,2,1,0,0,1,0,0,0,0,0,0
Schleswig-Holstein,21,0,0,0,0,2,0,4,8,1,3,2,0,1,0,0,0,0,0
Thuringia,8,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
