index,total,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unknown
Total,3405,0,0,0,12,132,427,707,695,605,326,231,165,69,20,4,6,4,2
Baden-Württemberg,147,0,0,0,4,4,23,32,21,35,13,8,5,1,0,0,1,0,0
Bavaria,267,0,0,0,0,14,30,45,48,58,34,19,13,5,1,0,0,0,0
Berlin,1597,0,0,0,2,47,208,368,342,291,128,98,75,24,6,2,3,3,0
Brandenburg,48,0,0,0,0,7,2,10,7,9,4,4,3,1,1,0,0,0,0
Bremen,10,0,0,0,0,2,4,1,1,0,0,1,0,1,0,0,0,0,0
Hamburg,166,0,0,0,0,7,19,35,36,20,23,12,9,3,2,0,0,0,0
Hesse,190,0,0,0,1,8,21,22,47,34,26,17,7,5,0,0,0,0,2
Mecklenburg-Vorpommern,6,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Lower Saxony,49,0,0,0,1,3,8,10,7,10,3,2,2,2,1,0,0,0,0
North Rhine-Westphalia,754,0,0,0,1,28,81,145,146,126,83,62,45,23,9,2,2,1,0
Rhineland-Palatinate,50,0,0,0,0,1,10,7,9,11,5,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Saxony,66,0,0,0,2,3,13,16,18,5,2,3,2,2,0,0,0,0,0
Saxony-Anhalt,13,0,0,0,0,1,2,6,2,1,0,0,1,0,0,0,0,0,0
Schleswig-Holstein,21,0,0,0,0,2,0,4,8,1,3,2,0,1,0,0,0,0,0
Thuringia,8,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
