date,total_cases,states,districts
2022-06-15,263,11,51
2022-06-17,338,11,55
2022-06-22,521,14,72
2022-06-24,676,14,85
2022-06-28,838,16,105
2022-07-01,1054,16,120
2022-07-06,1304,16,140
2022-07-08,1490,16,150
2022-07-13,1694,16,165
2022-07-15,1859,16,172
2022-07-20,2110,16,196
2022-07-22,2268,16,204
