district,population,total_cases,total_incidence_100k,inc_cases
SK Berlin Lichtenberg,286522,34,11.8665,2
SK Berlin Marzahn-Hellersdorf,262967,7,2.6619,0
SK Berlin Mitte,375238,219,58.3630,6
SK Berlin Neukölln,321123,90,28.0266,0
SK Berlin Pankow,398036,117,29.3943,3
SK Berlin Reinickendorf,259689,12,4.6209,0
SK Berlin Spandau,239019,6,2.5103,0
SK Berlin Steglitz-Zehlendorf,302177,14,4.6330,0
SK Berlin Tempelhof-Schöneberg,341772,153,44.7667,0
SK Berlin Treptow-Köpenick,266488,21,7.8803,1
LK Barnim,185244,2,1.0797,0
SK Brandenburg a.d.Havel,72184,0,0.0000,0
SK Cottbus,99678,2,2.0065,0
LK Dahme-Spreewald,170791,1,0.5855,0
LK Elbe-Elster,101827,0,0.0000,0
SK Frankfurt (Oder),57751,0,0.0000,0
LK Havelland,162996,5,3.0676,0
LK Märkisch-Oderland,195751,3,1.5326,0
LK Oberhavel,212914,2,0.9393,1
LK Oberspreewald-Lausitz,109371,0,0.0000,0
LK Oder-Spree,178803,1,0.5593,0
LK Ostprignitz-Ruppin,98861,2,2.0230,0
SK Potsdam,180334,6,3.3272,0
LK Potsdam-Mittelmark,216566,1,0.4618,0
LK Prignitz,76158,0,0.0000,0
LK Spree-Neiße,113720,1,0.8794,0
LK Teltow-Fläming,169997,3,1.7647,0
LK Uckermark,118947,0,0.0000,0
SK Bremen,567559,1,0.1762,0
SK Bremerhaven,113643,0,0.0000,0
SK Hamburg,1847253,75,4.0601,0
LK Bergstraße,270340,2,0.7398,1
SK Darmstadt,159878,1,0.6255,0
LK Darmstadt-Dieburg,297844,2,0.6715,0
SK Frankfurt am Main,763380,32,4.1919,4
LK Groß-Gerau,275726,2,0.7254,0
LK Hochtaunuskreis,236914,0,0.0000,0
LK Main-Kinzig-Kreis,420552,0,0.0000,0
LK Main-Taunus-Kreis,238558,0,0.0000,0
LK Odenwaldkreis,96703,0,0.0000,0
SK Offenbach,130280,2,1.5352,0
LK Offenbach,355813,3,0.8431,0
LK Rheingau-Taunus-Kreis,187160,0,0.0000,0
LK Wetteraukreis,308339,2,0.6486,0
SK Wiesbaden,278474,0,0.0000,0
LK Gießen,270688,0,0.0000,0
LK Lahn-Dill-Kreis,253319,0,0.0000,0
LK Limburg-Weilburg,171912,0,0.0000,0
LK Marburg-Biedenkopf,247084,0,0.0000,0
LK Vogelsbergkreis,105643,0,0.0000,0
LK Fulda,223145,0,0.0000,0
LK Hersfeld-Rotenburg,120719,0,0.0000,0
SK Kassel,202137,0,0.0000,0
LK Kassel,236764,0,0.0000,0
LK Schwalm-Eder-Kreis,179673,2,1.1131,0
LK Waldeck-Frankenberg,156406,0,0.0000,0
LK Werra-Meißner-Kreis,100629,0,0.0000,0
LK Ludwigslust-Parchim,211779,1,0.4722,0
LK Mecklenburgische Seenplatte,258074,1,0.3875,0
LK Nordwestmecklenburg,157322,0,0.0000,0
SK Rostock,209191,0,0.0000,0
LK Rostock,215794,0,0.0000,0
SK Schwerin,95653,0,0.0000,0
LK Vorpommern-Greifswald,235623,2,0.8488,0
LK Vorpommern-Rügen,224702,0,0.0000,0
SK Braunschweig,249406,2,0.8019,0
LK Gifhorn,176523,0,0.0000,0
LK Goslar,136292,0,0.0000,0
LK Göttingen,326041,1,0.3067,0
LK Helmstedt,91297,0,0.0000,0
LK Northeim,132285,1,0.7559,0
LK Peine,134801,0,0.0000,0
SK Salzgitter,104291,0,0.0000,0
LK Wolfenbüttel,119622,0,0.0000,0
SK Wolfsburg,124371,0,0.0000,0
LK Diepholz,217089,1,0.4606,0
LK Hameln-Pyrmont,148549,1,0.6732,0
Region Hannover,1157115,7,0.6050,0
LK Hildesheim,275817,1,0.3626,0
LK Holzminden,70458,0,0.0000,0
LK Nienburg (Weser),121390,0,0.0000,0
LK Schaumburg,157820,2,1.2673,0
LK Celle,179011,0,0.0000,0
LK Cuxhaven,198038,0,0.0000,0
LK Harburg,254431,0,0.0000,0
LK Heidekreis,140673,0,0.0000,0
LK Lüchow-Dannenberg,48412,0,0.0000,0
LK Lüneburg,184139,0,0.0000,0
LK Osterholz,113928,0,0.0000,0
LK Rotenburg (Wümme),163782,0,0.0000,0
LK Stade,204512,0,0.0000,0
LK Uelzen,92389,0,0.0000,0
LK Verden,137133,0,0.0000,0
LK Ammerland,124859,0,0.0000,0
LK Aurich,189694,0,0.0000,0
LK Cloppenburg,170682,0,0.0000,0
SK Delmenhorst,77559,0,0.0000,0
SK Emden,49913,0,0.0000,0
LK Emsland,326954,0,0.0000,0
LK Friesland,98704,0,0.0000,0
LK Grafschaft Bentheim,137162,0,0.0000,0
LK Leer,170756,0,0.0000,0
SK Oldenburg,169077,0,0.0000,0
LK Oldenburg,130890,0,0.0000,0
SK Osnabrück,165251,1,0.6051,0
LK Osnabrück,358080,1,0.2793,0
LK Vechta,142814,0,0.0000,0
LK Wesermarsch,88583,0,0.0000,0
SK Wilhelmshaven,76089,0,0.0000,0
LK Wittmund,56926,0,0.0000,0
SK Bochum,365587,6,1.6412,0
SK Dortmund,588250,3,0.5100,0
LK Ennepe-Ruhr-Kreis,324106,0,0.0000,0
SK Hagen,188686,1,0.5300,0
SK Hamm,179916,0,0.0000,0
SK Herne,156449,0,0.0000,0
LK Hochsauerlandkreis,259777,0,0.0000,0
LK Märkischer Kreis,410222,1,0.2438,0
LK Olpe,133955,1,0.7465,0
LK Siegen-Wittgenstein,276944,2,0.7222,0
LK Soest,301785,0,0.0000,0
LK Unna,394891,1,0.2532,0
SK Bielefeld,334195,0,0.0000,0
LK Gütersloh,364938,1,0.2740,0
LK Herford,250578,0,0.0000,0
LK Höxter,140251,0,0.0000,0
