index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,3531,0,0,1,13,139,447,743,711,622,333,243,169,76,20,3,7,4,0
Baden-Württemberg,153,0,0,0,4,4,26,33,23,32,13,10,5,1,0,0,2,0,0
Bayern,282,0,0,0,0,15,32,49,50,60,35,20,13,7,1,0,0,0,0
Berlin,1630,0,0,0,1,48,212,380,347,298,130,101,75,24,6,2,3,3,0
Brandenburg,53,0,0,0,0,7,2,11,8,10,4,5,3,2,1,0,0,0,0
Bremen,13,0,0,0,0,2,5,2,1,1,0,1,0,1,0,0,0,0,0
Hamburg,177,0,0,0,0,8,20,38,37,21,25,12,10,4,2,0,0,0,0
Hessen,202,0,0,0,2,9,24,26,49,35,27,17,7,6,0,0,0,0,0
Mecklenburg-Vorpommern,7,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0
Niedersachsen,50,0,0,0,1,3,8,9,7,11,3,2,3,2,1,0,0,0,0
Nordrhein-Westfalen,781,0,0,1,1,31,85,150,150,131,84,65,46,24,9,1,2,1,0
Rheinland-Pfalz,51,0,0,0,0,1,10,8,8,12,5,3,3,1,0,0,0,0,0
Saarland,13,0,0,0,0,2,3,3,1,2,2,0,0,0,0,0,0,0,0
Sachsen,71,0,0,0,2,3,16,18,18,5,2,3,2,2,0,0,0,0,0
Sachsen-Anhalt,12,0,0,0,0,0,1,6,2,1,0,0,1,1,0,0,0,0,0
Schleswig-Holstein,26,0,0,0,1,3,0,5,7,1,3,4,1,1,0,0,0,0,0
Thüringen,10,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0
Unbekannt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
