index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
LK Neumarkt i.d.OPf.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Neustadt a.d.Waldnaab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Regensburg,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Regensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Schwandorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Tirschenreuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Weiden i.d.OPf.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Aichach-Friedberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Augsburg,5,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0
LK Augsburg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LK Dillingen a.d.Donau,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Donau-Ries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Günzburg,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SK Kaufbeuren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Kempten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Lindau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Memmingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Neu-Ulm,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
LK Oberallgäu,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LK Ostallgäu,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LK Unterallgäu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SK Aschaffenburg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LK Aschaffenburg,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LK Bad Kissingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Haßberge,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Kitzingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Main-Spessart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Miltenberg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Rhön-Grabfeld,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SK Schweinfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Schweinfurt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SK Würzburg,4,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
LK Würzburg,4,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
SK Berlin Charlottenburg-Wilmersdorf,162,0,0,0,0,5,19,25,30,30,10,21,14,4,0,0,2,2,0
SK Berlin Friedrichshain-Kreuzberg,306,0,0,0,0,9,44,70,61,68,22,20,8,3,1,0,0,0,0
SK Berlin Lichtenberg,65,0,0,0,0,2,11,19,17,9,3,1,2,0,1,0,0,0,0
SK Berlin Marzahn-Hellersdorf,13,0,0,0,0,0,0,6,1,3,1,1,0,1,0,0,0,0,0
SK Berlin Mitte,375,0,0,0,0,10,49,97,88,68,30,19,10,4,0,0,0,0,0
SK Berlin Neukölln,154,0,0,0,0,3,22,58,26,22,15,5,2,0,0,0,0,1,0
SK Berlin Pankow,202,0,0,0,0,9,29,48,47,34,19,9,7,0,0,0,0,0,0
SK Berlin Reinickendorf,24,0,0,0,0,0,3,3,8,7,1,0,1,0,1,0,0,0,0
